jiào,叫,to be called
huàichu,坏处,"harm, disadvantage"
jiānchí,坚持,"to persevere with, to persist in"
wánchéng,完成,"to complete, to accomplish"
bìxū,必须,"must, need to, have to"
bùguò,不过,"but, however, only, merely"
gāngcái,刚才,just now
bànyè,半夜,midnight
yìngzhēng,应征,to apply for job
guǎnggào,广告,"commercial, advertise"
dàochù,到处,everywhere
róngyì,容易,easy
qīngchu,清楚,"clear, to understand"
dì yībù,第一步,"the first step, step one"
xià yī bù,下一步,"the next step, then"
chǎo,炒,"fry (meat, fish, or vegetables) rapidly over a high heat while stirring briskly"
xīhóngshì,西红柿,tomato
shípǔ,食谱,recipe
dào,倒,"upside down, pour, collapse, fail"
yóu,油,"oil, fat"
dào,道,courses in a meal
yóunì,油腻,"greasy, oily"
yán,盐,salt
qīngdàn,清淡,"light, weak, delicate, mild"
qiē,切,to cut
dé,得,to get
zhèngzhuàng,症状,symtom
méishì,没事,"nothing serious, doesn't matter,Never mind"
tǐwēn,体温,(body)temperature
liáng,量,to measure
méiyòng,没用,useless
yàojǐn,要紧,"serious, important , critical"
bìyào,必要,necessary
dānwù,耽误,to delay
zhànzhù,站住,"to stop, to halt, to freeze"
bànfǎ,办法,"solution, method, way"
liǎojiě,了解,"to understand, to find out"
qiūtiān,秋天,"autumn, fall"
niánqīng,年轻,young
wèntí,问题,"problem, question, issue, matter"
jiějué,解决,"to solve, to settle"
shēngyì rén,生意人,businessman
hēixīn,黑心,"dirty, dishonest"
quánjiā,全家,all family
bàojǐng,报警,to report（an incident）to the police
shībài,失败,"failure, to fail"
nándé,难得,"rare, hard"
yěxǔ,也许,maybe
tíng,停,to park
zǒngshì,总是,always
bǎo,饱,full (to eat till full)
chōukòng,抽空,to find time to do something
guówáng,国王,king
cóngqián,从前,previous
dòngwù,动物,animal
dàxiàng,大象,elephant
hàoqí,好奇,curious
jìhào,记号,mark
huà,画,"to draw, painting"
chuán,船,boat
zhǔyi,主意,idea
xiàchén,下沉,to sink
liúxíng,流行,"popular, fashionable"
dǎbàn,打扮,"to dress up, to make up , dress, way or style of dressing"
lǜ,绿,green
pèi,配,to match
zǐ,紫,purple
cāoxīn,操心,to worry about
mèilì,魅力,charm
zàihu,在乎,to care about
lǐxiǎng,理想,"dream, ideal"
sījī,司机,driver
wàijiāo guān,外交官,diplomat
gōngzī,工资,"pay, wages"
liú,留,"to stay, leave behind"
hùshì,护士,nurse
wèi,为,for
fúwù,服务,service
yuànwàng,愿望,"desire, wish"
shíxiàn,实现,"to fulfil, to come true"
mán,瞒,to hide the truth from
dúshēngnǚ,独生女,only daughter
zìyóu,自由,"free, freedom"
shāngliáng,商量,"to consult, to discuss"
shíhuà,实话,truth
líbié,离别,"to leave, to depart"
wǎngshàng,网上,online
gòuwù,购物,to shop (shopping)
tuì,退,to withdraw (a product)
kěkào,可靠,"reliable, trustworthy"
páizi,牌子,brand
shìchuān,试穿,"to try wearing clothes, fitting trial"
yòngpǐn,用品,products
chà,差,inferior
hùtóu,户头,bank account
bàn,办,"to do, to handle, to manage"
shǒuxù,手续,procedures
zhuǎnzhàng,转账,to transfer account
zìdòng,自动,automatically
shōujù,收据,receipt
jiǎofèi,缴费,to pay a fee
mà,骂,"to verbally abuse , call names"
kǎolǜ,考虑,"to think over, to consider"
tuījiàn,推荐,to recommend
kěxī,可惜,"it is a pity, what a pity, unfortunately"
huásuàn,划算,"worthwhile, value for money, to view as profitable"
bǎozhèng,保证,"to guarantee, to assure"
ěrjī,耳机,"headphones, earphones, telephone receiver"
xiū,修,"to repair, to build"
fángshuǐ,防水,waterproof
yāoqiú,要求,"to request, to require, the other party's wishes and conditions"
yìjiàn,意见,suggestion
qíngkuàng,情况,situation
zhǎngbèi,长辈,elder family members
wǎnbèi,晚辈,younger family members
gè,各,each
shàngyídài,上一代,last generation
bèijǐng,背景,background
zǒngzhī,总之,"to sum up, overall"
xiǎngfǎ,想法,opinion
xìngkuī,幸亏,"fortunately, luckily"
yánzhòng,严重,"grave, serious, severe, critical"
shòushāng,受伤,"to sustain injuries, be wounded, be harmed (in an accident etc)​"
zhuàngdào,撞到,"to bump into, to hit"
shù,树,tree
shìgù,事故,accident
jiùhùchē,救护车,ambulance
kē,棵,"classifier for trees, cabbages, plants etc"
shēngyīn,声音,"voice, sound"
rǎn,染,to dye
xǐngmù,醒目,eye-catching
sī shēnghuó,私生活,private life
gānshè,干涉,to intervene
ràngbù,让步,"to concede, concession"
chī huài dùzi,吃坏肚子,to get sick because of bad food
xīnxiān,新鲜,fresh
lādùzi,拉肚子,to have diarrhea
téng,疼,painful
jízhěn,急诊,emergency
dǎzhēn,打针,to inject
shú,熟,"cooked, done"
yángròu,羊肉,lamb meat
hǎixiān,海鲜,sea food
biǎo,表,watch
kuài,块,a unit that calculates blocks or pieces
yàngshì,样式,"style, type"
zhè biān,这边,here
míngguì,名贵,"famous and valuable, rare, precious"
bāozhuāng,包装,"to pack, to package"
chǎn,产,to produce
yuànyì,愿意,to be willing to
